IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.214.231,2087,2087,true,SIN,Asia Pacific,Singapore,95,4.54
47.243.139.85,8443,8443,true,HKG,Asia Pacific,Hong Kong,79,4.53
8.219.50.180,8443,8443,true,SIN,Asia Pacific,Singapore,73,4.53
47.242.107.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,86,4.53
47.74.155.26,80,80,false,SIN,Asia Pacific,Singapore,84,22
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,64,21.1
47.76.222.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,18.1
8.210.63.130,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,18.1
8.217.66.3,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,17.1
192.18.134.22,443,443,true,SJC,North America,San Jose,176,7.1
129.146.46.164,443,443,true,LAX,North America,Los Angeles,356,6.1
152.67.249.123,443,443,true,SJC,North America,San Jose,172,5.1 
138.2.134.218,443,443,true,FRA,Europe,Frankfurt,250,5.1
