IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
45.11.104.211,18936,true,HKG,Asia Pacific,Hong Kong,66,25 
103.30.78.45,777,true,SIN,Asia Pacific,Singapore,62,19 
43.207.213.195,2086,true,HKG,Asia Pacific,Hong Kong,86,19 
43.154.230.30,443,true,HKG,Asia Pacific,Hong Kong,62,19 
35.221.131.178,10240,true,TPE,Asia Pacific,Taipei,80,18 
20.243.85.49,10443,true,NRT,Asia Pacific,Tokyo,82,18 
47.75.101.0,3443,true,HKG,Asia Pacific,Hong Kong,79,18
35.229.227.97,59793,true,TPE,Asia Pacific,Taipei,76,17
203.198.16.117,28,true,SIN,Asia Pacific,Singapore,65,16
34.97.135.104,443,true,KIX,Asia Pacific,Osaka,105,14
16.162.37.167,443,true,HKG,Asia Pacific,Hong Kong,138,13
129.154.223.89,15800,true,NRT,Asia Pacific,Tokyo,96,13
103.20.199.246,44124,true,NRT,Asia Pacific,Tokyo,77,12
23.225.64.72,25017,true,SIN,Asia Pacific,Singapore,108,12 
103.20.199.101,33004,true,NRT,Asia Pacific,Tokyo,85,12
146.56.146.7,21713,true,SJC,North America,San Jose,123,11
152.70.245.66,12693,true,NRT,Asia Pacific,Tokyo,118,11
13.78.119.61,32081,true,NRT,Asia Pacific,Tokyo,85,11
38.147.188.26,8003,true,SIN,Asia Pacific,Singapore,73,10
3.1.116.161,8443,true,SIN,Asia Pacific,Singapore,105,10
154.17.25.7,50376,true,LAX,North America,Los Angeles,178,10
154.9.241.153,59254,true,LAX,North America,Los Angeles,189,10
210.16.122.112,8443,true,TPE,Asia Pacific,Taipei,107,9
38.207.171.169,38835,true,LAX,North America,Los Angeles,185,9
154.40.32.15,9443,true,LAX,North America,Los Angeles,222,9
43.201.69.223,8443,true,ICN,Asia Pacific,Seoul,126,9
154.17.27.8,48655,true,LAX,North America,Los Angeles,172,9
47.56.196.176,9443,true,HKG,Asia Pacific,Hong Kong,74,9
154.9.241.101,17573,true,LAX,North America,Los Angeles,199,9
154.9.233.228,12261,true,LAX,North America,Los Angeles,213,9
38.174.112.5,37044,true,LAX,North America,Los Angeles,165,9
154.9.241.153,56073,true,LAX,North America,Los Angeles,201,9
154.17.29.48,57372,true,LAX,North America,Los Angeles,176,8
8.20.125.1,443,true,SFO,North America,San Francisco,188,8
154.9.233.228,59756,true,LAX,North America,Los Angeles,212,8
154.9.237.164,34366,true,LAX,North America,Los Angeles,211,8
23.106.143.190,39027,true,KIX,Asia Pacific,Osaka,78,8
52.221.254.206,8443,true,SIN,Asia Pacific,Singapore,102,8
154.17.230.102,50885,true,LAX,North America,Los Angeles,181,8
154.7.181.36,37593,true,LAX,North America,Los Angeles,206,8
38.207.171.169,41822,true,LAX,North America,Los Angeles,197,8
89.213.182.246,60002,true,LAX,North America,Los Angeles,188,8
54.194.162.247,443,true,DUB,Europe,Dublin,209,8
199.19.110.126,17062,true,LAX,North America,Los Angeles,165,8
43.156.181.203,443,true,SIN,Asia Pacific,Singapore,99,8
185.148.15.121,37015,true,SJC,North America,San Jose,159,8
154.9.241.183,16356,true,LAX,North America,Los Angeles,184,8
154.9.241.153,10276,true,LAX,North America,Los Angeles,193,8
38.150.3.43,28264,true,LAX,North America,Los Angeles,184,7
60.248.63.88,12832,true,KHH,Asia Pacific,Kaohsiung City,100,7
13.51.55.31,443,true,ARN,Europe,Stockholm,199,7
154.9.241.153,22116,true,LAX,North America,Los Angeles,195,7
154.17.27.91,34311,true,LAX,North America,Los Angeles,179,7
154.9.241.153,38808,true,LAX,North America,Los Angeles,207,7
8.222.78.155,443,true,NRT,Asia Pacific,Tokyo,67,7
43.156.253.94,443,true,SIN,Asia Pacific,Singapore,101,7
154.21.89.12,12446,true,LAX,North America,Los Angeles,178,7
104.20.27.133,2096,true,IAD,North America,Ashburn,249,7
43.156.116.194,443,true,SIN,Asia Pacific,Singapore,85,6
43.153.80.208,443,true,SJC,North America,San Jose,173,6
91.107.148.215,2053,true,FRA,Europe,Frankfurt,255,6
65.75.192.77,10180,true,SJC,North America,San Jose,171,6
154.21.92.2,36433,true,LAX,North America,Los Angeles,171,6
109.107.137.56,19358,true,NRT,Asia Pacific,Tokyo,166,6
38.207.186.234,51777,true,LAX,North America,Los Angeles,209,6
51.89.241.53,8443,true,LHR,Europe,London,259,5
65.109.208.21,8443,true,HEL,Europe,Helsinki,266,5
154.197.121.127,443,true,SJC,North America,San Jose,742,5
128.140.124.244,8443,true,FRA,Europe,Frankfurt,277,5
146.56.144.32,11202,true,NRT,Asia Pacific,Tokyo,96,5
140.238.10.44,23253,true,NRT,Asia Pacific,Tokyo,99,5
43.154.104.77,443,true,HKG,Asia Pacific,Hong Kong,71,5
140.238.7.57,9999,true,ICN,Asia Pacific,Seoul,104,5
154.29.147.199,443,true,LAX,North America,Los Angeles,204,4
154.7.183.12,58628,true,LAX,North America,Los Angeles,195,4
146.59.34.218,2053,true,MBP,Europe,Kyiv,289,4553 
193.123.232.127,31137,true,SJC,North America,San Jose,64,4
131.186.22.123,443,true,ICN,Asia Pacific,Seoul,124,4
146.59.155.205,8443,true,LHR,Europe,London,261,4
146.56.166.59,46060,true,SJC,North America,San Jose,124,4
47.75.193.125,27002,true,NRT,Asia Pacific,Tokyo,67,4

