IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.214.231,2087,2087,TRUE,SIN,Asia Pacific,Singapore,95,11
47.243.139.85,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,79,11
8.219.50.180,8443,8443,TRUE,SIN,Asia Pacific,Singapore,73,11
47.242.107.109,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,86,11
8.222.214.231,2096,2096,TRUE,SIN,Asia Pacific,Singapore,61,11
47.243.139.243,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,77,11
47.237.125.8,2087,2087,TRUE,SIN,Asia Pacific,Singapore,72,11
8.218.98.75,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,50,11
8.210.244.38,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,93,11
47.236.169.141,2053,2053,TRUE,SIN,Asia Pacific,Singapore,44,11
47.74.155.26,80,80,FALSE,SIN,Asia Pacific,Singapore,84,20
47.243.186.171,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,59,20
8.218.204.128,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,58,20
47.243.86.79,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,58,20
8.210.174.156,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,62,20
8.217.207.60,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,63,20
8.218.22.210,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,58,20
47.243.234.9,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,64,20
192.18.134.22,443,443,TRUE,SJC,North America,San Jose,176,11
129.146.46.164,443,443,TRUE,LAX,North America,Los Angeles,356,11
152.67.249.123,443,443,TRUE,SJC,North America,San Jose,172,11
138.2.134.218,443,443,TRUE,FRA,Europe,Frankfurt,250,11
141.144.207.34,443,443,TRUE,FRA,Europe,Frankfurt,245,11
